TICK:1 | ORBIT:1 | TEMP:-14 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:2 | ORBIT:1 | TEMP:-14 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:3 | ORBIT:1 | TEMP:-13 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:4 | ORBIT:1 | TEMP:-12 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:5 | ORBIT:1 | TEMP:-12 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:6 | ORBIT:1 | TEMP:-11 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:7 | ORBIT:1 | TEMP:-10 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:8 | ORBIT:1 | TEMP:-10 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:9 | ORBIT:1 | TEMP:-9 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:10 | ORBIT:1 | TEMP:-8 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:11 | ORBIT:1 | TEMP:-7 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:12 | ORBIT:1 | TEMP:-6 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:13 | ORBIT:1 | TEMP:-5 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:14 | ORBIT:1 | TEMP:-4 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:15 | ORBIT:1 | TEMP:-3 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
[WARN] Sensor copy canary modified at tick 16
TICK:16 | ORBIT:1 | TEMP:-2 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:17 | ORBIT:1 | TEMP:-1 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
TICK:18 | ORBIT:1 | TEMP:0 | VBAT:6.312 | SAFE:0 | THERM_STALE: 0
